,vm_pu,va_degree,p_mw,q_mvar
1,1.0,0.0,-0.12355648830390394,-0.043514070815500606
2,0.987570116999484,-0.9729780923881604,0.0,0.0
3,0.9766315140692438,-0.9616596683991022,0.0,0.0
4,0.9692797652782633,-0.9702459776828946,0.0,0.0
5,0.9643682927914187,-0.9760617938799373,0.0,0.0
6,0.9619092269959536,-0.9789618403692667,0.0,0.0
7,0.9742096877007869,-0.9644840722936833,0.03,0.01
8,0.9668394771790978,-0.973113473216781,0.03,0.01
9,0.9620457125022842,-0.955799479966991,0.03,0.009999999999999998
10,0.9594501445277823,-0.9818735366957174,0.03,0.010000000000000002
